model,split,inference_time_seconds,Accuracy,Balanced Accuracy,Macro-F1,Weighted-F1,Precision,Recall,Specificity,ROC-AUC,PR-AUC,False Positive Rate,False Negative Rate,Brier Score,Expected Calibration Error,fit_time_seconds,model_group,MAE,RMSE,sMAPE,MAPE_safe,R2,normalized_RMSE,ramp_MAE,interval_coverage_probability,mean_prediction_interval_width,pinball_loss_q05,pinball_loss_q95,interval_calibration_error,variant,horizon_hours,feature_count,pinball_loss,uncertainty_error_correlation
MLPClassifier,test,0.0763893127441406,0.969416156935949,0.8486429514237096,0.884069316033292,0.9678262653192892,0.8841269841269841,0.7052120700569741,0.9920738327904453,0.9929349656102096,0.9175507350740651,0.0079261672095548,0.2947879299430259,0.0232159953161636,0.0201043016901486,24.604572057724,Classical ML,,,,,,,,,,,,,,,,,
MLPClassifier,external_test,0.0718650817871093,0.9772329538825648,0.9281811124912918,0.8971009055381718,0.9780502108774082,0.7489462592202318,0.8731572481572482,0.9832049768253353,0.9932324451714508,0.9087136421910422,0.0167950231746647,0.1268427518427518,0.0169947258832262,0.0132152834628695,24.604572057724,Classical ML,,,,,,,,,,,,,,,,,
XGBoost,validation,0.0975668430328369,0.9771496191603194,0.9793011884354538,0.8886440503259252,0.9792592583501464,0.6600719424460432,0.9816583874665648,0.9769439894043428,0.997336885010134,0.9484386438948696,0.0230560105956571,0.0183416125334352,0.0166044913256983,0.0260214540557044,4.750655889511108,Boosting,,,,,,,,,,,,,,,,,
XGBoost,test,0.0710761547088623,0.9771162852714212,0.977930973661924,0.9292677794836935,0.9782536423535522,0.7846752368064953,0.9788985017936274,0.9769634455302209,0.9973528827296648,0.9714345159430076,0.0230365544697792,0.0211014982063726,0.016932317286613,0.0235751489640744,4.750655889511108,Boosting,,,,,,,,,,,,,,,,,
XGBoost,external_test,0.0621910095214843,0.977716295271588,0.9775072375767616,0.9072401277911916,0.979318577636768,0.7158605174353205,0.9772727272727272,0.9777417478807958,0.9970813813270152,0.952451081718505,0.0222582521192041,0.0227272727272727,0.0168246420024451,0.0259439288797769,4.750655889511108,Boosting,,,,,,,,,,,,,,,,,
LightGBM,validation,0.1742470264434814,0.9778996316605276,0.9807873670393644,0.8917817112265936,0.9798979960492754,0.6672713138118683,0.983951089033244,0.9776236450454846,0.9978484796571514,0.9578407461982924,0.0223763549545153,0.0160489109667558,0.0164727993566789,0.023617136354236,5.617686033248901,Boosting,,,,,,,,,,,,,,,,,
LightGBM,test,0.1063880920410156,0.9778162969382824,0.9811083166709396,0.9315243044962844,0.9789320266677386,0.7874493927125507,0.9850179362734754,0.977198697068404,0.9980361707020322,0.97881346064253,0.022801302931596,0.0149820637265245,0.0165727483502707,0.022358146242744,5.617686033248901,Boosting,,,,,,,,,,,,,,,,,
LightGBM,external_test,0.1097247600555419,0.9782329705495092,0.9819781778492545,0.909685734773886,0.9798276107649851,0.7180232558139535,0.9861793611793612,0.9777769945191478,0.997759852052452,0.961789615559412,0.0222230054808522,0.0138206388206388,0.0167054944019557,0.0240588688926807,5.617686033248901,Boosting,,,,,,,,,,,,,,,,,
Persistence forecast,validation,0.0001389980316162,,,,,,,,,,,,,,,Persistence,0.793397480886497,1.2393476117729192,0.179103052917803,0.4266369099101844,0.97993262866534,0.1416593496034499,0.793397480886497,,,,,,,,,,
Persistence forecast,test,0.0001568794250488,,,,,,,,,,,,,,,Persistence,0.8908820815229239,1.310259670431793,0.2378871025255945,0.618050108232683,0.9793489585250108,0.1437047023254956,0.8908820815229239,,,,,,,,,,
Persistence forecast,external_test,0.0001699924468994,,,,,,,,,,,,,,,Persistence,0.806777763412859,1.2434891084667483,0.2051962139729667,0.4835567070367138,0.9806490076960472,0.1391078441340507,0.806777763412859,,,,,,,,,,
Seasonal persistence forecast,validation,0.0001308917999267,,,,,,,,,,,,,,,Persistence,1.7541575089849537,2.7053975525061738,0.3287477465159091,0.9625213182580958,0.9043761105847008,0.3092311261717348,1.7541575089849537,,,,,,,,,,
Seasonal persistence forecast,test,0.0001788139343261,,,,,,,,,,,,,,,Persistence,1.809477713134883,2.776399160693656,0.3866802228810238,1.099273334437149,0.907276242951468,0.3045057586125307,1.809477713134883,,,,,,,,,,
Seasonal persistence forecast,external_test,0.0002009868621826,,,,,,,,,,,,,,,Persistence,1.7734220899866877,2.727417904272007,0.3666436839941642,1.0896254877694185,0.90690579595919,0.3051134281213811,1.7734220899866877,,,,,,,,,,
Ridge,validation,0.0299639701843261,,,,,,,,,,,,,,0.9998490810394288,Classical ML,0.4971105209449989,0.7851489009528501,0.1276842304048882,0.2823211183817219,0.9919460621702172,0.0897437341987821,0.4971105209449989,,,,,,,,,,
Ridge,test,0.0437402725219726,,,,,,,,,,,,,,0.9998490810394288,Classical ML,0.5470848733821119,0.790858437057767,0.1659850773190921,0.3697210947981653,0.9924764170121811,0.0867385899480062,0.5470848733821119,,,,,,,,,,
Ridge,external_test,0.0396890640258789,,,,,,,,,,,,,,0.9998490810394288,Classical ML,0.5059687746345574,0.7701171518476099,0.1439336374243142,0.2899329176658122,0.9925777964445712,0.0861522115431066,0.5059687746345574,,,,,,,,,,
ElasticNet,validation,0.0665390491485595,,,,,,,,,,,,,,10.722554206848145,Classical ML,0.4902549858319133,0.782953984273916,0.1263290162414399,0.282616924224443,0.991991029470165,0.0894928518263,0.4902549858319133,,,,,,,,,,
ElasticNet,test,0.0534629821777343,,,,,,,,,,,,,,10.722554206848145,Classical ML,0.5369305719099444,0.7862368792555191,0.1644559066394121,0.3695039505871524,0.9925640915616012,0.0862317136369669,0.5369305719099444,,,,,,,,,,
ElasticNet,external_test,0.0509431362152099,,,,,,,,,,,,,,10.722554206848145,Classical ML,0.5032402248786875,0.7702318533619336,0.1433716494975051,0.2891630842389008,0.9925755853488056,0.0861650430832205,0.5032402248786875,,,,,,,,,,
RandomForestRegressor,validation,0.2316751480102539,,,,,,,,,,,,,,84.2735288143158,Tree ensemble,0.3938162214384317,0.632267618089474,0.1043527394135443,0.2398752588821747,0.9947771674967124,0.0722691670222771,0.3938162214384317,,,,,,,,,,
RandomForestRegressor,test,0.1918871402740478,,,,,,,,,,,,,,84.2735288143158,Tree ensemble,0.4121545283746361,0.6231341557474139,0.1324692483954035,0.2819983828928529,0.995329210178612,0.0683431768383903,0.4121545283746361,,,,,,,,,,
